file_name,language,condition,ground_truth,entities,model,ok,wer,accuracy,cer,exact_match,entity_recall,entity_f1,hallucination_rate,latency_ms,rtf,realtime_status,missed_entities,model_output,error
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Deepgram Nova-3,True,0.0,1.0,0.0,True,1.0,0.2857142857142857,0.0,1454,0.299,faster-than-real-time,,Electronic City feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Deepgram Nova-2,True,0.0,1.0,0.0,True,1.0,0.2857142857142857,0.0,1678,0.345,faster-than-real-time,,Electronic City feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Deepgram Base,True,0.0,1.0,0.0,True,1.0,0.2222222222222222,0.0,1462,0.301,faster-than-real-time,,Electronic city feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Sarvam Saaras v3,True,0.25,0.75,0.02127659574468085,False,1.0,0.5,0.1111111111111111,856,0.176,faster-than-real-time,,Electronic City Feels Like A Different Town All Together,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Sarvam Saaras v3 Codemix,True,0.0,1.0,0.0,True,1.0,0.2222222222222222,0.0,746,0.153,faster-than-real-time,,electronic city feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Sarvam Saarika v2.5,True,0.0,1.0,0.0,True,1.0,0.2222222222222222,0.0,723,0.149,faster-than-real-time,,Electronic city feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,OpenAI GPT-4o Transcribe,True,1.0,0,0.5106382978723404,False,0.0,0.0,0.05,1431,0.294,faster-than-real-time,Electronic City,इलेक्ट्रॉनिक सिटी फील्स लाइक अ डिफरेंट टाउन altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,OpenAI GPT-4o Mini Transcribe,True,0.0,1.0,0.0,True,1.0,0.2857142857142857,0.0,1076,0.221,faster-than-real-time,,Electronic City feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,AssemblyAI Best,True,0.0,1.0,0.0,True,1.0,0.2222222222222222,0.0,4079,0.839,faster-than-real-time,,Electronic city feels like a different town altogether.,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Google STT Latest Long,True,1.125,0,0.6382978723404256,False,0.0,0.0,0.043478260869565216,2797,0.576,faster-than-real-time,Electronic City,इलेक्ट्रॉनिक सिटी फील्स लाइक ए डिफरेंट टाउन ऑल टुगेदर।,
Male_NormalMic6_Englsih_ngedhu.ogg,English,Phone Mic,Electronic City feels like a different town altogether,Electronic City,Google STT Telephony,True,1.125,0,0.6382978723404256,False,0.0,0.0,0.043478260869565216,2548,0.524,faster-than-real-time,Electronic City,इलेक्ट्रॉनिक सिटी फील्स लाइक ए डिफरेंट टाउन ऑल टुगेदर।,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Deepgram Nova-3,True,0.09090909090909091,0.9090909090909091,0.0196078431372549,False,1.0,0.2857142857142857,0.0,1110,0.213,faster-than-real-time,,We moved to Sarjapur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Deepgram Nova-2,True,0.09090909090909091,0.9090909090909091,0.0196078431372549,False,0.0,0.0,0.0,1146,0.22,faster-than-real-time,Sarjapur,We move to Sarajapur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Deepgram Base,True,0.18181818181818182,0.8181818181818181,0.09803921568627451,False,0.0,0.0,0.08333333333333333,1175,0.226,faster-than-real-time,Sarjapur,We move to Sa port to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Sarvam Saaras v3,True,0.09090909090909091,0.9090909090909091,0.0392156862745098,False,0.0,0.0,0.0,1165,0.224,faster-than-real-time,Sarjapur,We move to Sharjahpur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Sarvam Saaras v3 Codemix,True,0.09090909090909091,0.9090909090909091,0.0392156862745098,False,0.0,0.0,0.0,756,0.145,faster-than-real-time,Sarjapur,We move to Sharjahpur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",Sarvam Saarika v2.5,True,0.0,1.0,0.0,True,1.0,0.2857142857142857,0.0,790,0.152,faster-than-real-time,,We move to Sarjapur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",OpenAI GPT-4o Transcribe,True,0.5454545454545454,0.4545454545454546,0.21568627450980393,False,0.0,0.0,0.21428571428571427,1330,0.256,faster-than-real-time,Sarjapur,वी moved to सर्जापुर to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",OpenAI GPT-4o Mini Transcribe,True,0.09090909090909091,0.9090909090909091,0.0196078431372549,False,1.0,0.2857142857142857,0.0,1051,0.202,faster-than-real-time,,We moved to Sarjapur to be closer to the international schools.,
Male_NormalMic7_Englsih_qf0w9q.ogg,English,Phone Mic,We move to Sarjapur to be closer to the international schools,"Sarjapur,",AssemblyAI Best,True,0.09090909090909091,0.9090909090909091,0.0196078431372549,False,1.0,0.2857142857142857,0.0,4229,0.813,faster-than-real-time,,We moved to Sarjapur to be closer to the international schools.,
